STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,URBANIZATION,Urbanization,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2018,,1424,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2021,,623,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2016,,21.27,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2018,,25.95,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2021,,12.88,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETAF,"Number of young persons not in education, employment or training",_T,Total,R,Rural,PD,Persons with disability,2017,,8,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2017,,51.12,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,PWD,Persons without disability,2019,,1789,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,R,Rural,PWD,Persons without disability,2019,,44.09,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2019,,2083,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,PWD,Persons without disability,2019,,31.24,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2011,,46.9,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2019,,40.35,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,NR,Nauru,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,_T,National,_T,No breakdown by disability,2011,,49.18,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,NR,Nauru,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,_T,National,_T,No breakdown by disability,2012,,39.05,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,SB,Solomon Islands,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2012,,21876,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,SB,Solomon Islands,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2012,,32.57,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,FM,Micronesia (Federated States of),NEETAF,"Number of young persons not in education, employment or training",M,Male,_T,National,_T,No breakdown by disability,2013,,4139,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,FM,Micronesia (Federated States of),NEETRF,"Proportion of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2013,,40.18,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETAF,"Number of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2013,,144,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETAF,"Number of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2015,,156,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2013,,85,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2015,,172,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2013,,13.28,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2015,,17.65,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,CK,Cook Islands,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2015,,72,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,CK,Cook Islands,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,_T,No breakdown by disability,2015,,20.94,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,CK,Cook Islands,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2015,,9.15,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2015,,2632,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2019,,2497,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,PD,Persons with disability,2015,,47.17,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,PW,Palau,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,_T,National,PWD,Persons without disability,2015,,16.48,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TK,Tokelau,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2015,,16,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",F,Female,U,Urban,PD,Persons with disability,2016,,9,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2016,,1939,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2018,,1997,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2021,,1383,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,R,Rural,PWD,Persons without disability,2016,,33.33,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,R,Rural,PWD,Persons without disability,2018,,32.11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,R,Rural,PWD,Persons without disability,2021,,25.73,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2016,,31.87,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2018,,31.52,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2021,,24.11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,PD,Persons with disability,2016,,34.62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2016,,27.32,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2018,,29.86,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PWD,Persons without disability,2021,,21.41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,R,Rural,_T,No breakdown by disability,2016,,30.32,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,R,Rural,_T,No breakdown by disability,2018,,31.27,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,R,Rural,_T,No breakdown by disability,2021,,23.84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETAF,"Number of young persons not in education, employment or training",F,Female,U,Urban,PWD,Persons without disability,2017,,281,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2017,,301,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,U,Urban,PWD,Persons without disability,2017,,49.73,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETAF,"Number of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2019,,1152,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,MH,Marshall Islands,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2019,,35.74,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,PD,Persons with disability,2019,,119,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETAF,"Number of young persons not in education, employment or training",_T,Total,R,Rural,PD,Persons with disability,2019,,176,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETAF,"Number of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2019,,4392,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,VU,Vanuatu,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2019,,31.05,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,SB,Solomon Islands,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,_T,No breakdown by disability,2012,,20.36,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,WS,Samoa,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2013,,26.41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,CK,Cook Islands,NEETRF,"Proportion of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2015,,23.8,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,CK,Cook Islands,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,_T,No breakdown by disability,2015,,31.47,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PD,Persons with disability,2015,,38.46,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,R,Rural,PD,Persons with disability,2019,,33.78,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,PD,Persons with disability,2015,,41.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,PD,Persons with disability,2019,,40.41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2015,,44.42,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,KI,Kiribati,NEETRF,"Proportion of young persons not in education, employment or training",M,Male,U,Urban,PWD,Persons without disability,2019,,46.01,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2015,,389,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETAF,"Number of young persons not in education, employment or training",F,Female,_T,National,_T,No breakdown by disability,2017,,407,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2015,,40.66,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TV,Tuvalu,NEETRF,"Proportion of young persons not in education, employment or training",_T,Total,U,Urban,_T,No breakdown by disability,2017,,47.53,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_NEET(1.0),"NEET - Youth not in education, employment or training (15-24 years)",I,A,Annual,TO,Tonga,NEETAF,"Number of young persons not in education, employment or training",M,Male,_T,National,_T,No breakdown by disability,2016,,2449,,N,units,,,,,,,,,,
