DATAFLOW,FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,RANGE,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT
SPC:DF_POP_COAST(2.0),A,2017,GU,COASTALPOPAF,5KM,158779,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2018,GU,COASTALPOPAF,5KM,157990,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2019,GU,COASTALPOPAF,5KM,157146,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2020,GU,COASTALPOPAF,5KM,157482,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2021,GU,COASTALPOPAF,5KM,159011,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2010,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,PW,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,NC,COASTALPOPAF,1KM,149529,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2011,NC,COASTALPOPAF,1KM,152366,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2012,NC,COASTALPOPAF,1KM,155279,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2013,NC,COASTALPOPAF,1KM,158247,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2014,NC,COASTALPOPAF,1KM,160762,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2015,NC,COASTALPOPAF,1KM,161873,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2016,NC,COASTALPOPAF,1KM,162015,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2017,NC,COASTALPOPAF,1KM,162088,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2018,NC,COASTALPOPAF,1KM,162086,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2019,NC,COASTALPOPAF,1KM,162117,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2020,NC,COASTALPOPAF,1KM,162449,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2021,NC,COASTALPOPAF,1KM,163039,N,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2010,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2011,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2012,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2013,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2014,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2015,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2016,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2017,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2018,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2019,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2020,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2021,NC,COASTALPOPRF,5KM,90,PERCENT,,E,,Percentage of coastal population based on 2014 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2010,WS,COASTALPOPAF,10KM,192942,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,WS,COASTALPOPAF,10KM,194628,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,WS,COASTALPOPAF,10KM,196416,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,WS,COASTALPOPAF,10KM,198183,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,WS,COASTALPOPAF,10KM,199953,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,WS,COASTALPOPAF,10KM,201697,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,WS,COASTALPOPAF,10KM,203409,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,WS,COASTALPOPAF,10KM,205317,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,WS,COASTALPOPAF,10KM,207492,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,WS,COASTALPOPAF,10KM,209686,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,WS,COASTALPOPAF,10KM,211848,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,WS,COASTALPOPAF,10KM,213680,N,,E,,Percentage of coastal population based on 2011 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,SB,COASTALPOPAF,5KM,486892,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,SB,COASTALPOPAF,5KM,505144,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,SB,COASTALPOPAF,5KM,524006,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,SB,COASTALPOPAF,5KM,543507,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,SB,COASTALPOPAF,5KM,563561,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,SB,COASTALPOPAF,5KM,584126,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,SB,COASTALPOPAF,5KM,605104,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,SB,COASTALPOPAF,5KM,626385,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,SB,COASTALPOPAF,5KM,647787,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,SB,COASTALPOPAF,5KM,665182,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,SB,COASTALPOPAF,5KM,680114,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,SB,COASTALPOPAF,5KM,696650,N,,E,,Percentage of coastal population based on 2009 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,MP,COASTALPOPRF,1KM,69,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2011,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2012,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2013,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2014,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2015,MEL,COASTALPOPRF,5KM,34,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2016,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2017,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2018,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2019,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2020,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2021,MEL,COASTALPOPRF,5KM,33,PERCENT,,E,,
SPC:DF_POP_COAST(2.0),A,2010,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,FM,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2010 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,_T,COASTALPOPAF,_T,10770000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2011,_T,COASTALPOPAF,_T,11030000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2012,_T,COASTALPOPAF,_T,11290000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2013,_T,COASTALPOPAF,_T,11540000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2014,_T,COASTALPOPAF,_T,11800000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2015,_T,COASTALPOPAF,_T,12050000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2016,_T,COASTALPOPAF,_T,12300000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2017,_T,COASTALPOPAF,_T,12550000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2018,_T,COASTALPOPAF,_T,12800000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2019,_T,COASTALPOPAF,_T,13030000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2020,_T,COASTALPOPAF,_T,13270000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2021,_T,COASTALPOPAF,_T,13490000,N,,E,,
SPC:DF_POP_COAST(2.0),A,2010,PN,COASTALPOPAF,_T,62,N,,E,,Interpolated using estimates for years 2008 and 2012.
SPC:DF_POP_COAST(2.0),A,2011,PN,COASTALPOPAF,_T,60,N,,E,,Interpolated using estimates for years 2008 and 2012.
SPC:DF_POP_COAST(2.0),A,2012,PN,COASTALPOPAF,_T,57,N,,E,,Estimated mid-year population for year 2012.
SPC:DF_POP_COAST(2.0),A,2013,PN,COASTALPOPAF,_T,54,N,,E,,Interpolated using estimates for years 2012 and 2014.
SPC:DF_POP_COAST(2.0),A,2014,PN,COASTALPOPAF,_T,51,N,,E,,Estimated mid-year population for year 2014.
SPC:DF_POP_COAST(2.0),A,2015,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2016,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2017,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2018,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2019,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2020,PN,COASTALPOPAF,_T,51,N,,E,,Interpolated using estimates for years 2014 and 2021.
SPC:DF_POP_COAST(2.0),A,2021,PN,COASTALPOPAF,_T,50,N,,E,,Value for year 2021.
SPC:DF_POP_COAST(2.0),A,2010,WF,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2013 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2011,WF,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2013 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2012,WF,COASTALPOPRF,10KM,100,PERCENT,,E,,Percentage of coastal population based on 2013 census. Population data from census matched to census/administrative boundaries.
