STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,0.84,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,0.83,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2015,,0.82,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,0.82,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2017,,0.82,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,0.82,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,0.81,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,0.81,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2021,,0.81,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2022,,0.81,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2023,,0.81,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_RSK_LST,15.5.1 Red List Index,NU,Niue,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2024,,0.8,,INDEX,index,G,Global,E,Estimated,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",,,,,
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2000,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2001,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2002,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2003,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2004,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2005,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2006,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2008,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2009,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
DATAFLOW,SPC:DF_SDG_15(3.0),Sustainable Development Goal 15 - Life on Land,I,A,Annual,ER_PTD_FRHWTR,15.1.2 Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,WF,Wallis and Futuna,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,0,,PERCENT,percent,G,Global,C,Country Data,"BirdLife International, IUCN and UNEP-WCMC (2021). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Databa",,,,"Obs_Value = 0;  UpperBound = 0.00000;  LowerBound = 0.00000;  ",
